"Article Type (BigFake, SmallFake, FakeFake, True)",Article Text,Short Text,Article True/False,Pro-Clinton or pro-Trump?,Source,Snopes shares,topicid,Fact check link,Coverage link 1,Coverage link 2,Notes,Alternative Text
SmallFake,An email written by Hillary Clinton aide Huma Abedin to her brother revealed that she is a radical Muslim.,Abedin radical Muslim,FALSE,Trump,Snopes-Clinton,2000,http://www.snopes.com/e-mail-from-huma-abedin-to-brother/ ,http://www.snopes.com/e-mail-from-huma-abedin-to-brother/,http://www.snopes.com/tag/hillary-clinton/,,,
,,,,,,,,,,,,
SmallFake,"Donald Trump threatened to deport Puerto Rican Broadway star Lin-Manuel Miranda, not realizing that Puerto Rico is a U.S. territory and Puerto Ricans are U.S. citizens.",Trump to deport Puerto Rican,FALSE,Clinton,Snopes-Trump,2000,http://www.snopes.com/trump-to-deport-lin-manuel-miranda/,http://www.snopes.com/trump-to-deport-lin-manuel-miranda/,http://www.snopes.com/tag/donald-trump/,,,
SmallFake,Wikileaks was caught by Newsweek fabricating emails with the intent of damaging Hillary Clinton's campaign.,Wikileaks fabricated emails,FALSE,Clinton,Snopes-Trump,30000,http://www.snopes.com/newsweek-proves-that-wikileaks-is-leaking-phony-hillary-clinton-emails/,http://www.snopes.com/newsweek-proves-that-wikileaks-is-leaking-phony-hillary-clinton-emails/,http://www.snopes.com/tag/donald-trump/,http://archive.is/f9cYh,,
SmallFake,Donald Trump and his campaign donated food and supplies to Hurricane Matthew victims in North Carolina.,Trump gave to hurricane victims,TRUE,Trump,Snopes-Trump,5000,,http://www.snopes.com/donald-trump-lumberton-nc/,http://www.snopes.com/tag/donald-trump/,,,
,,,,,,,,,,,,
FakeFake,Leaked documents reveal that the Clinton campaign planned a scheme to offer to drive Republican voters to the polls but then take them to the wrong place.,Clinton voter fraud,FALSE,Trump,,,,,,,,
FakeFake,Leaked documents reveal that the Trump campaign planned a scheme to offer to drive Democratic voters to the polls but then take them to the wrong place.,Trump voter fraud,FALSE,Clinton,,,,,,,,
FakeFake,FBI Director James Comey was secretly communicating with Hillary Clinton about when to release results of the FBI investigation into Clintonês private email server.,Comey secret with Clinton,FALSE,Trump,,,,,,,,
FakeFake,FBI Director James Comey was secretly communicating with Donald Trump about when to release results of the FBI investigation into Clintonês private email server.,Comey secret with Trump,FALSE,Clinton,,,,,,,,
FakeFake,Clinton Foundation staff were found guilty of diverting funds to buy alcohol for expensive parties in the Caribbean.,Clinton Foundation alcohol,FALSE,Trump,,,,,,,,
FakeFake,Trump Foundation staff were found guilty of diverting funds to buy alcohol for expensive parties in the Caribbean.,Trump Foundation alcohol,FALSE,Clinton,,,,,,,,
,,,,,,,,,,,,
BigTrue,"Hillary Clinton said that ""you could put half of Trump's supporters into what I call the basket of deplorables.""",Basket of deplorables,TRUE,Trump,Guardian,,,,https://www.theguardian.com/us-news/2016/nov/07/us-election-2016-complete-timeline-clinton-trump-president,http://www.latimes.com/nation/politics/trailguide/la-na-trailguide-updates-transcript-clinton-s-full-remarks-as-1473549076-htmlstory.html,,
BigTrue,"At the 9/11 memorial ceremony, Hillary Clinton stumbled and had to be helped into a van.",Clinton stumbled into van,TRUE,Trump,Guardian,,,,https://www.theguardian.com/us-news/2016/nov/07/us-election-2016-complete-timeline-clinton-trump-president,http://www.nytimes.com/video/us/politics/100000004640056/overheated-clinton-exits-911-memorial.html,,
BigTrue,"At the third presidential debate, Donald Trump refused to say whether he would concede the election if he lost.",Trump might not concede,TRUE,Clinton,Guardian,,,,https://www.theguardian.com/us-news/2016/nov/07/us-election-2016-complete-timeline-clinton-trump-president,https://www.washingtonpost.com/politics/trump-wont-commit-to-accepting-election-results-if-he-loses/2016/10/19/9c9672e6-9609-11e6-bc79-af1cd3d2984b_story.html,,
BigTrue,"On October 28th, the FBI director alerted members of Congress that it had discovered new emails relevant to its investigation of Hillary Clinton's personal server.",FBI discovered new emails,TRUE,Trump,Guardian,,,,https://www.theguardian.com/us-news/2016/nov/07/us-election-2016-complete-timeline-clinton-trump-president,https://www.theguardian.com/us-news/2016/oct/28/fbi-reopens-hillary-clinton-emails-investigation,,
BigTrue,The musicians Beyonce and Jay Z appeared at a rally in support of Hillary Clinton.,Beyonce appeared for Clinton,TRUE,Clinton,Guardian,,,,https://www.theguardian.com/us-news/2016/nov/07/us-election-2016-complete-timeline-clinton-trump-president,http://www.nytimes.com/2016/11/05/us/politics/jay-z-beyonce-clinton-voters.html?_r=0,,
BigTrue,"Two days before the election, the FBI director told Congress that a newer batch of emails linked to Hillary Clinton's private email server did not change his conclusion that Clinton should face no charges over her handling of classified information.",New emails did not change FBI,TRUE,Clinton,Guardian,,,,https://www.theguardian.com/us-news/2016/nov/07/us-election-2016-complete-timeline-clinton-trump-president,http://www.nytimes.com/2016/11/07/us/politics/hilary-clinton-male-voters-donald-trump.html?mtrref=www.google.com&gwh=190984E355FCA3651355A36711CDD12B&gwt=pay,,
